Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N19_,A1-2024:,-,112.36%,Prepago Mora A1 A2 B MZ CResidual
" $145,700 millones ",,$millones de pesos,A2-2034:,"$122,926",104.39%,$mm
Mora >120 dÃ­as:,,,B-2034:,"$9,388",100.59%,"10% 1.0 100% 100% 100% 100% 100% 4,706"
" $7,580 millones ",,,MZ-2034:,"$5,000",99 14%,"20% 1.0 100% 100% 100% 100% 100% 4,446"
AvalÃºo BRP,,,C 2034,"$2,000",,"MM 1.0 100% 100% 100% 100% 100% 4,822"
$ ,,,,,,"10% 1.5 100% 100% 100% 100% 100% 3,444"
-,,,,,,"20% 1.5 100% 100% 100% 100% 100% 3,434"
TIPS,,,,,,"MM 1.5 100% 100% 100% 100% 100% 3,389"
,,,,,,10% 5.0 100% 100% 100% 100% 46% -
,,,,,,20% 5.0 100% 100% 100% 100% 73% -
,,,,,,MM 5.0 100% 100% 100% 100% 41% -
