Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N14 _,A-2027:,"$16,471",443.53%,Prepago Mora A B 2032 MZ 2032Residual
" $79,698 millones ",,$millones de pesos,B-2032:,"$44,881",119.07%,$mm
Mora >120 dÃ­as:,,,MZ-2032:,"$5,428",109.39%,"10% 1.0 100% 100% 100% 9,408"
" $6,645 millones ",,,,,,"20% 1.0 100% 100% 100% 9,624"
 $73 millones ,,,,,,"MM 1.0 100% 100% 100% 9,372"
TIPS,,,,,,"10% 1.5 100% 100% 100% 8,956"
,,,,,,"20% 1.5 100% 100% 100% 9,246"
,,,,,,"MM 1.5 100% 100% 100% 8,909"
,,,,,,"10% 5.0 100% 100% 100% 6,078"
,,,,,,"20% 5.0 100% 100% 100% 6,776"
,,,,,,"MM 5.0 100% 100% 100% 5,957"
