Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
$millones de pesos,marzo de 2024,TIPS PESOS N13 ,A-2026:,"$19,837",338.67%,Prepago Mora A B 2030 B 2031Residual
Saldo de capital cartera:,,$millones de pesos,B1-2030:,"$31,772",130.18%,$mm
" $73,648 millones ",,,B2-2031:,"$7,060",114.51%,"10% 1.0 100% 100% 100% 10,917"
Cobeturas Externas,,,,,,"20% 1.0 100% 100% 100% 11,041"
Mora >120 dÃ­as:,,,,,,"MM 1.0 100% 100% 100% 10,899"
" $6,465 millones ",,,,,,"10% 1.5 100% 100% 100% 10,500"
$ ,,,,,,"20% 1.5 100% 100% 100% 10,691"
TIPS,,,,,,"MM 1.5 100% 100% 100% 10,461"
,,,,,,"10% 5.0 100% 100% 100% 7,838"
,,,,,,"20% 5.0 100% 100% 100% 8,414"
,,,,,,"MM 5.0 100% 100% 100% 7,679"
