Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N5 ,A-2022:,-,696.84%,Prepago Mora A B MZ CResidual
" $19,878 millones ",,$millones de pesos,B-2027:,-,380.87%,$mm
Mora >120 dÃ­as:,,,MZ-2027:,"$2,335",,"10% 1.0 100% 100% 100% 100% 5,398"
" $3,604 millones ",,,C-2027:,"$1,937",,"20% 1.0 100% 100% 100% 100% 5,398"
TIPS,,,,,,"MM 1.0 100% 100% 100% 100% 5,330"
,,,,,,"10% 1.5 100% 100% 100% 100% 5,398"
,,,,,,"20% 1.5 100% 100% 100% 100% 5,398"
,,,,,,"MM 1.5 100% 100% 100% 100% 5,327"
,,,,,,"10% 5.0 100% 100% 100% 100% 5,398"
,,,,,,"20% 5.0 100% 100% 100% 100% 5,398"
,,,,,,"MM 5.0 100% 100% 100% 100% 5,308"
