Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N20_,A1-2024:,-,111.12%,Prepago Mora A1 A2 B MZ CResidual
" $161,881 millones ",,$millones de pesos,A2-2034:,"$140,031",111.12%,$mm
Mora >120 dÃ­as:,,,B-2034:,-,107.32%,"10% 1.0 100% 100% 100% 100% 100% 16,857"
" $6,282 millones ",,,MZ-2034:,"$4,950",105 68%,"20% 1.0 100% 100% 100% 100% 100% 15,582"
AvalÃºo BRP,,,C 2034,"$2,250",,"MM 1.0 100% 100% 100% 100% 100% 17,165"
$ ,,,,,,"10% 1.5 100% 100% 100% 100% 100% 15,539"
-,,,,,,"20% 1.5 100% 100% 100% 100% 100% 14,564"
TIPS,,,,,,"MM 1.5 100% 100% 100% 100% 100% 15,778"
,,,,,,"10% 5.0 100% 100% 100% 100% 100% 7,726"
,,,,,,"20% 5.0 100% 100% 100% 100% 100% 8,218"
,,,,,,"MM 5.0 100% 100% 100% 100% 100% 7,599"
,,,,,,Mora observada Jan: 1.30%
