Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital cartera:,marzo de 2024,TIPS PESOS N17 _,A-2028:,"$21,198.2",304.97%,Prepago Mora A B MZ CResidual
" $70,051 millones ",,$millones de pesos,B-2033:,"$30,788.3",124.36%,$mm
Cobeturas Externas,,,MZ-2033:,"$6,003.7",111.48%,"10% 1.0 100% 100% 100% 100% 3,101"
Mora >120 dÃ­as:,,,C-2033:,"$1,539.3",108 60%,"20% 1.0 100% 100% 100% 100% 3,854"
" $5,402 millones ",,,,,,"MM 1.0 100% 100% 100% 100% 2,976"
AvalÃºo BRP,,,,,,"10% 1.5 100% 100% 100% 100% 2,651"
$ ,,,,,,"20% 1.5 100% 100% 100% 100% 3,466"
TIPS,,,,,,"MM 1.5 100% 100% 100% 100% 2,512"
,,,,,,10% 5.0 100% 100% 100% 100% -
,,,,,,20% 5.0 100% 100% 100% 100% 884
,,,,,,MM 5.0 100% 100% 100% 100% -
