Saldoymora,Fecha,Titulos,TIPS,Actual,Cobertura V,Escenarios Estres
Saldo de capital de la cartera:,marzo de 2024,TIPS U3_,A-2028:,"410,862.2",120.70%,Prepago Mora A B MZ C
"540,816",,Cifras en miles de UVR,B-2033:,-,120.70%,"10% 1.0 100% 100% 100% 100% 46,606"
Saldo en Mora>120 dÃ­as:,,,MZ-2033:,"47,917.0",108.10%,"20% 1.0 100% 100% 100% 100% 45,527"
"44,896",,,C-2033:,"18,829.0",103.83%,"MM 1.0 100% 100% 100% 100% 46,579"
TIPS,,,,,,"10% 1.5 100% 100% 100% 100% 42,563"
,,,,,,"20% 1.5 100% 100% 100% 100% 42,353"
,,,,,,"MM 1.5 100% 100% 100% 100% 42,669"
,,,,,,"10% 5.0 100% 100% 100% 100% 19,429"
,,,,,,"20% 5.0 100% 100% 100% 100% 23,147"
,,,,,,"MM 5.0 100% 100% 100% 100% 20,123"
